Accreditatienummer;https://www.rva.nl/alle-geaccrediteerden/;;;StationsGebied;stad;stad;voorstad;regionaal;regionaal;regionaal;regionaal;regionaal;regionaal;stad;stad;stad;regionaal
;;;;StationsType;industrie;achtergrond;industrie;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;industrie;industrie;industrie
;;;;Meetprincipe;Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F)
;;;;Meetopstelling;Teledyne API 100E UV Fluorescent SO2 Analyser;Teledyne API 100E UV Fluorescent SO2 Analyser;Teledyne API 100E UV Fluorescent SO2 Analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser
;;;;Accreditatienummer;L520;L520;L520;L224;L224;L224;L224;L224;L224;L426;L426;L426;L426
Component;Bep.periode;Eenheid; Begindatumtijd;Einddatumtijd;NL01484;NL01485;NL01496;NL10133;NL10318;NL10444;NL10644;NL10722;NL10934;NL49016;NL49551;NL49553;NL49704
SO2;uur;µg/m³;20220105 02:00;20220105 03:00;6.2;5.4;0.9;-0.07;0.15;0.4;0.34;0.17;0.21;0.2;2.1;1.9;0.6
SO2;uur;µg/m³;20220105 03:00;20220105 04:00;2.7;4.9;-0.2;-0.03;0.14;0.32;0.31;0.11;0.19;0.3;1.7;1;0.5
SO2;uur;µg/m³;20220105 04:00;20220105 05:00;1.5;4.9;-0.3;0.33;0.02;0.08;0.14;0.19;-0.07;0.2;2.4;2.2;0.6
SO2;uur;µg/m³;20220105 05:00;20220105 06:00;1.1;3.4;-0.6;0.35;0.01;-0.02;0.12;0.23;-0.08;0.1;1.7;1.4;0.3
SO2;uur;µg/m³;20220105 06:00;20220105 07:00;2.7;4.3;0.2;0.23;0.01;-0.01;0.11;0.27;-0.08;0.2;1.7;2;0.2
SO2;uur;µg/m³;20220105 07:00;20220105 08:00;1.4;6.3;0.3;0.2;0;-0.02;0.11;0.29;-0.08;0.2;2;1.4;0.2
SO2;uur;µg/m³;20220105 08:00;20220105 09:00;2.9;9.9;0.5;0.21;0.02;-0.04;0.18;0.25;-0.09;0.1;1.2;1.5;0.3
SO2;uur;µg/m³;20220105 09:00;20220105 10:00;3.3;10.7;0.4;0.28;-0.01;-0.07;0.12;0.25;-0.12;0.2;1.8;1.2;1.8
SO2;uur;µg/m³;20220105 10:00;20220105 11:00;2.7;16.8;0.6;0.3;0.01;-0.05;0.13;0.21;-0.08;1.1;2.2;1.6;5.1
SO2;uur;µg/m³;20220105 11:00;20220105 12:00;2;7.5;-0.5;0.25;0.07;-0.07;0.13;0.22;-0.06;1.7;1.7;;3.4
SO2;uur;µg/m³;20220105 12:00;20220105 13:00;0.9;4.8;-0.1;0.46;0.03;-0.05;0.13;0.19;-0.02;0.8;1.4;1.1;1.1
SO2;uur;µg/m³;20220105 13:00;20220105 14:00;2.1;4.4;-0.3;0.45;0.04;-0.04;0.16;0.2;-0.02;0.5;1.3;1.5;0.6
SO2;uur;µg/m³;20220105 14:00;20220105 15:00;3.7;4.5;-0.4;0.76;0.06;-0.06;0.11;0.18;-0.04;0.5;2.6;1;0.3
SO2;uur;µg/m³;20220105 15:00;20220105 16:00;2.5;3.9;-0.5;0.63;0.01;-0.06;0.11;0.19;-0.06;0.4;2.2;1.3;0.2
SO2;uur;µg/m³;20220105 16:00;20220105 17:00;2;2.4;-0.6;0.55;0.07;-0.08;0.17;0.21;-0.07;0.6;12.3;1.5;0.1
