Export;EXP-2023-01 (20230705 21:24);;;StationsCode;NL49551;NL49553
Periode;20220101 00:00 - 20230101 00:00;;;BeheerderMeetStation;GGD A'dam;GGD A'dam
Bron;https://data.rivm.nl/data/luchtmeetnet;;;StationsNaam;IJmuiden-Kanaaldijk;Wijk aan Zee-Burgemeester Rothestraat
Beschrijving data;https://data.rivm.nl/data/luchtmeetnet/readme.pdf;;;Latitude,Longitude;(52.463039,4.601842);(52.493992,4.601986)
Accreditatienummer;https://www.rva.nl/alle-geaccrediteerden/;;;StationsGebied;stad;stad
;;;;StationsType;industrie;industrie
;;;;Meetprincipe;Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F)
;;;;Meetopstelling;H2S metingen met een Thermo monitor;H2S metingen met een Thermo monitor
;;;;Accreditatienummer;nvt;nvt
Component;Bep.periode;Eenheid; Begindatumtijd;Einddatumtijd;NL49551;NL49553
H2S;uur;µg/m³;20220111 17:00;20220111 18:00;1.6;
H2S;uur;µg/m³;20220111 18:00;20220111 19:00;1.5;3
H2S;uur;µg/m³;20220111 19:00;20220111 20:00;1.4;3
H2S;uur;µg/m³;20220111 20:00;20220111 21:00;1.6;1.3
H2S;uur;µg/m³;20220111 21:00;20220111 22:00;1.9;0.9
H2S;uur;µg/m³;20220111 22:00;20220111 23:00;1.1;1.2
H2S;uur;µg/m³;20220111 23:00;20220112 00:00;1.6;1.1
H2S;uur;µg/m³;20220112 00:00;20220112 01:00;1.4;0.9
H2S;uur;µg/m³;20220112 01:00;20220112 02:00;1.5;1.5
H2S;uur;µg/m³;20220112 02:00;20220112 03:00;1.2;1.4
H2S;uur;µg/m³;20220112 03:00;20220112 04:00;1.2;0.4
H2S;uur;µg/m³;20220112 04:00;20220112 05:00;1.6;0.3
H2S;uur;µg/m³;20220112 05:00;20220112 06:00;1.5;0.4
H2S;uur;µg/m³;20220112 06:00;20220112 07:00;1.5;0.4
H2S;uur;µg/m³;20220112 07:00;20220112 08:00;1.2;0.6
H2S;uur;µg/m³;20220112 08:00;20220112 09:00;1.8;0.6
H2S;uur;µg/m³;20220112 09:00;20220112 10:00;1.3;0.3
H2S;uur;µg/m³;20220112 10:00;20220112 11:00;0.9;0.4
H2S;uur;µg/m³;20220112 11:00;20220112 12:00;1.2;0.4
H2S;uur;µg/m³;20220112 12:00;20220112 13:00;1.2;0.5
H2S;uur;µg/m³;20220112 13:00;20220112 14:00;2.1;0.6
H2S;uur;µg/m³;20220112 14:00;20220112 15:00;1.3;0.7
H2S;uur;µg/m³;20220112 15:00;20220112 16:00;1.8;1
H2S;uur;µg/m³;20220112 16:00;20220112 17:00;1.6;1
H2S;uur;µg/m³;20220112 17:00;20220112 18:00;2;1.5
H2S;uur;µg/m³;20220112 18:00;20220112 19:00;1.1;1.1
H2S;uur;µg/m³;20220112 19:00;20220112 20:00;1.7;0.8
H2S;uur;µg/m³;20220112 20:00;20220112 21:00;1.3;2.1
H2S;uur;µg/m³;20220112 21:00;20220112 22:00;;2
H2S;uur;µg/m³;20220112 22:00;20220112 23:00;1.3;0.9
H2S;uur;µg/m³;20220112 23:00;20220113 00:00;1.5;0.8
H2S;uur;µg/m³;20220113 00:00;20220113 01:00;1.1;0.8
H2S;uur;µg/m³;20220113 01:00;20220113 02:00;1.2;0.8
H2S;uur;µg/m³;20220113 02:00;20220113 03:00;1.4;0.6
H2S;uur;µg/m³;20220113 03:00;20220113 04:00;1.4;0.8
H2S;uur;µg/m³;20220113 04:00;20220113 05:00;1.5;0.4
H2S;uur;µg/m³;20220113 05:00;20220113 06:00;1.6;1
H2S;uur;µg/m³;20220113 06:00;20220113 07:00;1.4;0.5
H2S;uur;µg/m³;20220113 07:00;20220113 08:00;1.1;0.6
H2S;uur;µg/m³;20220113 08:00;20220113 09:00;1.9;1.1
H2S;uur;µg/m³;20220113 09:00;20220113 10:00;1.4;0.5
H2S;uur;µg/m³;20220113 10:00;20220113 11:00;1.3;0.8
H2S;uur;µg/m³;20220113 11:00;20220113 12:00;0.9;0.7
H2S;uur;µg/m³;20220113 12:00;20220113 13:00;1.2;0.6
H2S;uur;µg/m³;20220113 13:00;20220113 14:00;1.4;0.6
H2S;uur;µg/m³;20220113 14:00;20220113 15:00;1.4;0.7
H2S;uur;µg/m³;20220113 15:00;20220113 16:00;1.3;0.6
H2S;uur;µg/m³;20220113 16:00;20220113 17:00;1.5;0.9
H2S;uur;µg/m³;20220113 17:00;20220113 18:00;1.1;1
H2S;uur;µg/m³;20220113 18:00;20220113 19:00;1.3;1.6
H2S;uur;µg/m³;20220113 19:00;20220113 20:00;0.9;
H2S;uur;µg/m³;20220113 20:00;20220113 21:00;1.6;0.7
H2S;uur;µg/m³;20220113 21:00;20220113 22:00;1.1;0.5
H2S;uur;µg/m³;20220113 22:00;20220113 23:00;1.4;0.7
H2S;uur;µg/m³;20220113 23:00;20220114 00:00;1.1;0.6
H2S;uur;µg/m³;20220114 00:00;20220114 01:00;1.4;0.8
H2S;uur;µg/m³;20220114 01:00;20220114 02:00;1.6;0.8
H2S;uur;µg/m³;20220114 02:00;20220114 03:00;1.6;0.5
H2S;uur;µg/m³;20220114 03:00;20220114 04:00;1.3;0.5
H2S;uur;µg/m³;20220114 04:00;20220114 05:00;1.1;1.2
H2S;uur;µg/m³;20220114 05:00;20220114 06:00;1.4;0.6
H2S;uur;µg/m³;20220114 06:00;20220114 07:00;1.4;0.5
